Action,Sequence,Data
happy,0,[0.6459652781486511 0.6242932081222534 -0.7729331851005554 ... 0.0 0.0 0.0]
happy,0,[0.6458597779273987 0.6174453496932983 -1.0967023372650146 ... 0.0 0.0 0.0]
happy,0,[0.7056352496147156 0.5952770709991455 -0.9480375051498413 ... 0.0 0.0 0.0]
happy,0,[0.7088898420333862 0.5936240553855896 -0.799716055393219 ... 0.0 0.0 0.0]
happy,0,[0.7049288749694824 0.5914623141288757 -0.8366509675979614 ... 0.0 0.0 0.0]
happy,0,[0.7017213106155396 0.5896238684654236 -0.8243464231491089 ... 0.0 0.0 0.0]
happy,0,[0.7009530067443848 0.5887491703033447 -0.7299900650978088 ... 0.0 0.0 0.0]
happy,0,[0.6925755143165588 0.5866318345069885 -0.6739268898963928 ... 0.0 0.0 0.0]
happy,0,[0.6727393865585327 0.5855789184570312 -0.6729665994644165 ... 0.0 0.0 0.0]
happy,0,[0.6701096296310425 0.5857011675834656 -0.6919471025466919 ... 0.0 0.0 0.0]
happy,0,[0.6672573089599609 0.5857542157173157 -0.6809135675430298 ... 0.0 0.0 0.0]
happy,0,[0.665494441986084 0.5857998728752136 -0.6812880635261536 ... 0.0 0.0 0.0]
happy,0,[0.6449068188667297 0.6138363480567932 -1.1607329845428467 ... 0.0 0.0 0.0]
happy,0,[0.6642581820487976 0.5858423113822937 -0.6669500470161438 ... 0.0 0.0 0.0]
happy,0,[0.6638287305831909 0.5859888792037964 -0.668782114982605 ... 0.0 0.0 0.0]
happy,0,[0.6638578176498413 0.5869503617286682 -0.6437366008758545 ... 0.0 0.0 0.0]
happy,0,[0.6640023589134216 0.5886064767837524 -0.669826090335846 ... 0.0 0.0 0.0]
happy,0,[0.6635304689407349 0.5891861319541931 -0.661139190196991 ... 0.0 0.0 0.0]
happy,0,[0.6635844707489014 0.5901105999946594 -0.6718066930770874 ... 0.0 0.0 0.0]
happy,0,[0.6636539697647095 0.5901722311973572 -0.6755152940750122 ... 0.0 0.0 0.0]
happy,0,[0.6642604470252991 0.5902231335639954 -0.7643462419509888 ... 0.0 0.0 0.0]
happy,0,[0.664740800857544 0.590266764163971 -0.7540732026100159 ... 0.0 0.0 0.0]
happy,0,[0.6655957102775574 0.590297281742096 -0.7968608140945435 ... 0.0 0.0 0.0]
happy,0,[0.6408434510231018 0.6121340990066528 -1.1611180305480957 ... 0.0 0.0 0.0]
happy,0,[0.6405675411224365 0.610198438167572 -1.1376298666000366 ... 0.0 0.0 0.0]
happy,0,[0.6405944228172302 0.6092526912689209 -1.1977458000183105 ... 0.0 0.0 0.0]
